epoch,train_loss,test_acc@1,test_acc@5
1,6.301544135378808,37.79,87.78
2,6.016376200410509,42.85,90.62
3,5.894442199431744,45.29,91.97999999999999
4,5.831839492640545,48.730000000000004,93.10000000000001
5,5.770575311995044,50.42,93.96
6,5.734164641075528,52.07000000000001,94.32000000000001
7,5.699188984546465,53.28000000000001,94.86
8,5.665313066895475,56.49999999999999,95.88
9,5.6479574183827825,57.75,96.31
10,5.6283062757905,59.07,96.53
11,5.607190176383736,59.309999999999995,96.78999999999999
12,5.592537555497946,61.24000000000001,96.89
13,5.580360181552848,61.96,97.0
14,5.566630034102607,63.13999999999999,97.31
15,5.563989821168565,63.42,97.24000000000001
16,5.549463847248824,64.92999999999999,97.42
17,5.545618873281577,65.03999999999999,97.68
18,5.541221731716824,65.78,97.68
19,5.530289187873762,66.36999999999999,97.71
20,5.524281718067287,67.23,98.05
21,5.518701376374235,68.30000000000001,97.92999999999999
22,5.5152047147455905,67.92,97.81
23,5.506422603253236,68.24,97.82
24,5.505930669528922,68.97999999999999,98.08
25,5.499768832295211,68.95,97.8
26,5.49578035492258,69.78,98.11
27,5.496407494102557,70.49,98.25
28,5.486578243294942,70.15,98.11
29,5.486383226728931,70.67,98.19
30,5.4840390706799695,71.03,98.22999999999999
31,5.480113501401291,71.02000000000001,98.38
32,5.469885462338162,71.24000000000001,98.31
33,5.473998674412363,71.28999999999999,98.22
34,5.473713938722906,71.96000000000001,98.25
35,5.469481777899044,72.00999999999999,98.26
36,5.466698730114809,72.54,98.56
37,5.465242459601963,72.18,98.49
38,5.460977559237136,72.84,98.54
39,5.459983388173211,72.42,98.26
40,5.4582012559949735,73.31,98.42
41,5.456587142551069,73.36,98.46000000000001
42,5.453372753772539,73.36,98.59
43,5.452432086787273,73.99,98.55000000000001
44,5.449795457505688,73.69,98.58
45,5.449367105346365,73.85000000000001,98.56
46,5.446110951531794,74.72999999999999,98.59
47,5.443994118995273,73.83999999999999,98.41
48,5.440467067600525,74.55000000000001,98.61999999999999
49,5.439624068663292,74.0,98.66
50,5.44082431694896,74.88,98.71
51,5.4379223794052285,75.08,98.59
52,5.437015990621036,75.03,98.64
53,5.437067779069094,75.05,98.65
54,5.43158633930167,75.16000000000001,98.71
55,5.432429638105569,75.52,98.64
56,5.4313355180406075,76.25999999999999,98.72
57,5.42870564313279,75.44999999999999,98.7
58,5.423436125529181,76.12,98.7
59,5.426313429763637,75.85,98.64
60,5.423294711358769,76.14999999999999,98.8
61,5.423447618779448,76.53999999999999,98.85000000000001
62,5.4227589479426745,76.73,98.61999999999999
63,5.419468461852713,76.48,98.61
64,5.419130649763284,76.57000000000001,98.76
65,5.421021240273702,77.35,98.83
66,5.414960163155782,76.42,98.76
67,5.413809383038393,76.36,98.72999999999999
68,5.412615456531957,76.81,98.78
69,5.411877917260239,77.08,98.75
70,5.412666935281655,77.25,98.86
71,5.410819097892525,76.98,98.87
72,5.4092510754300145,77.34,98.92999999999999
73,5.406371431252391,77.75999999999999,98.96000000000001
74,5.409533795622206,77.61,98.86
75,5.40676192647403,77.64,98.87
